session_title,year,number_of_authors,number_of_papers
Gender Health and Elderly Health Care,2018,5,4
Gender in Asia,2011,7,4
Gender in Corporate Leadership,2013,9,4
"Gender in Corporation Management (G3, J4)",2016,10,4
Gender in Organizational Hierarchies,2014,10,4
Gender in the Economics Profession I,2019,11,4
Gender in the Economics Profession II,2019,6,4
Gender in the Workplace,2018,9,4
Gender Inequalities and Economic Processes,2019,10,4
Gender Inequality and Economic Growth,2015,6,4
Gender Inequality and Intra-Household Bargaining,2018,6,4
Gender Inequality and Policy,2019,6,3
"Gender Inequality: New Views on Exploitation, Poverty, Pensions and Domestic Violence",2013,8,4
Gender Inequality: Sources and Solutions,2019,7,3
Gender Issues in Economics,2018,5,4
"Gender Issues in Russia: Past and Present (J1, P3)",2015,7,4
Gender Norms and Discrimination,2018,7,3
"Gender Relations at Work, Labor Market and Family Policies: Outcomes on Women’s Empowerment, Career Development and Well-Being",2018,5,4
"Gender, Care and Heterodox Macroeconomic Modeling",2018,8,4
"Gender, Credit, and Microfinance",2016,5,4
"Gender, Labor and the Global Economy",2011,5,4
"Gender, Law, and Social Economics",2014,4,4
"Gender, Race and Economic Development",2014,6,4
"Gender, Race, and the Labor Market",2014,9,4
"Gender, Socioeconomics and Development (O2, O1)",2015,14,6
"Gender, Trade and Productivity Shocks",2013,10,4
Gendered Education and Migration,2013,5,4
Gendered Effects and Policy Implications,2014,7,4
Gendered Responses to Upheaval and Recession,2016,7,4
Gendered Tradeoffs: Explorations in Economic Growth and Gender Equality,2013,6,4
Genes and Economic Behavior,2013,13,4
Gentrification,2019,8,4
Geographic Variation in Health Care Markets,2016,9,3
Geography and Market Outcomes,2019,10,4
Getting Ahead,2013,7,5
Getting From High School Through College: Policies to Raise Educational Attainment,2019,11,4
Giving and Social Contexts,2014,8,4
Global Financial Contagion,2011,9,4
Global Imbalances and Exchange Rates,2016,10,4
Global Inequality and Policy,2018,13,4
Global Lessons from the Eurozone Crisis,2015,13,4
Global Macro Policy and the Great Recession,2013,5,3
Global Production Chains,2012,11,4
Global Production Chains,2013,13,4
Global Production Networks,2018,11,3
"Global Production, Sourcing and FDI: Causes and Effects",2011,12,4
Global Real and Financial Imbalances,2011,5,4
Global Rebalancing and Asia,2011,7,4
Global Reserve Assets in a Low Interest Rate World,2016,14,4
Global Risks and Currencies: Theory and Evidence,2014,13,4
Global Trade Dynamics in an Integrated World,2011,10,4
Globalization and Intellectual Property,2019,15,4
"Globalization, Gender and Development",2014,4,4
"Globalization, Organization, and Management: Empirical Evidence from Micro Level Data (F2, F6)",2016,11,4
"Globalization: Economic Impacts and Challenges (F1, F2)",2016,9,4
Going Green: Design Efficiency and Real Estate Value,2011,9,4
"Governance Threats, Consequences and Countermeasures",2016,8,4
"Governance, Compensation and Bank Risk-Taking",2015,11,4
Government and Health,2014,8,4
Government Intervention in Residential Mortgage Markets,2014,10,4
Government Policies and Markets,2016,9,4
Government Policies and Private Reactions (H),2012,12,5
"Government Policy and Firm Behavior (P5, D2)",2015,11,4
Government Policy and Household Behavior,2012,10,4
Governments and Stock Prices,2016,9,3
Graduate-Student Session,2011,4,4
"Great Thinkers on Ethics, Economics, and Financial Markets (A1, D6)",2016,7,5
Greater China and the World Economy I,2014,11,4
Greater China and the World Economy II,2014,6,4
"Green and Not-So-Green Real Estate (M1, D9)",2015,8,4
Green Building and Sustainable Real Estate Development,2013,8,4
Green Buildings and Residential Leases,2012,11,4
Group-Based Savings in Developing Countries,2015,9,4
Groups in Economic Decision Making,2011,8,4
Growing New Ph.D. Economists,2011,3,1
Growing Older and Working Longer: Implications for Health and Retirement Time,2015,7,4
Growth & Socio-Economic Policy,2014,11,6
Growth and Instability,2012,4,4
"Growth and Trade (F1, O1)",2015,13,4
Growth Efficiency & Finance,2019,12,6
Growth Inputs: From Human Capital to Nation Building,2012,11,4
"Growth Prospects for Developing Countries (F4, F4)",2016,7,4
"Growth, Innovation and Trade",2014,11,4
GSE,2018,9,4
Habit Formation and Voluntary Approaches to Environmental Policy,2014,10,4
Happiness at Work,2014,11,5
Has Innovation Stopped Driving Growth?,2014,6,4
Health,2013,7,4
Health and Crime,2018,11,3
Health and Development,2018,5,4
Health and Economic Development,2013,10,4
Health and Employment,2018,7,4
"Health and Hispanic Economic Outcomes (I1, J1)",2016,10,4
Health Care Cost Containment,2013,5,4
Health Care Delivery: Establishing Links Between Evidence and Practice,2018,8,3
Health Care Labor Markets,2013,8,4
Health Care Organization and Outcomes: International Evidence,2018,12,4
Health Care Reform Issues,2011,9,3
Health Care Response to Prices and Reimbursement Policies,2019,6,4
Health Care: Intervention Principles,2011,6,4
Health Care: Raising Quality or Lowering Costs,2011,6,5
Health Economics,2014,10,6
Health Economics,2018,12,4
Health Economics in Developing Countries,2013,8,4
"Health Economics: Theory, Econometrics, and Data",2019,14,4
Health in Developing Economies,2016,5,3
Health Insurance,2012,11,5
Health Insurance and Health Care Practice,2012,8,3
Health Insurance and Health Outcomes,2011,8,3
Health Insurance and Labor Market Outcomes,2015,8,3
Health Insurance and Public Policy,2011,3,3
Health Insurance Market Innovations,2013,8,3
"Health Insurance Marketplaces: New Developments and Their Inplications (I1, L1)",2015,13,4
Health Insurance Markets and Coverage,2014,12,4
"Health Insurance Reform (I1, I1)",2015,7,3
Health of Vulnerable Groups,2018,6,3
Health Policies and Health Outcomes,2011,14,5
"Health Policy and Social Insurance: Incentives and Outcomes (I1, H5)",2015,7,4
Health Policy in Developing Countries,2016,5,3
"Health, Development and Behavior",2019,8,3
"Health, Social Exchanges, and Economic Life",2013,5,5
Healthcare and Household Finance,2019,10,4
Healthcare Performance and Competition,2014,13,4
Healthy Choices in the Supplemental Nutrition Assistance Program (SNAP),2014,7,3
Hedge Funds,2012,8,3
Hedge Funds,2013,14,4
Hedge Funds,2014,10,4
Hedge Funds,2015,12,4
Hedge Funds,2016,11,4
Hedge Funds,2019,9,3
"Hedonic Models of Land Value and Amenities: Methods and Applications (Q5, Q4)",2016,8,4
"Herbert Simon. Commemorating the Centenary of Simon’s Birth (B3, Y8)",2016,4,4
Heterodox Analyses of the Current Crisis,2011,5,4
Heterodox Analysis of the Great Recession,2014,6,5
Heterodox Approaches to Trade and Development,2016,8,5
Heterodox Climate Economics,2011,4,4
Heterodox International Economics,2012,7,5
Heterodox International Economics,2014,5,4
Heterodox International Trade Theory,2011,8,5
Heterodox Macroeconomics,2015,5,5
Heterodox Macroeconomics,2016,4,4
Heterodox Microfoundations of Macroeconomic Issues,2012,5,4
Heterodox Monetary Theory,2012,5,4
Heterodox Perspectives on Piketty,2015,4,4
Heterodox Perspectives on the Welfare State,2015,8,4
Heterodox Theories of Economic Crisis,2011,4,4
Heterodox Theories of the Business Enterprise,2014,6,5
Heterodox Theory and Social Provisioning,2015,6,5
Heterodox Theory of Market Governance and Competition,2013,5,4
Heterogeneity and Aggregate Dynamics: Lessons from the Micro Data,2019,6,3
Heterogeneity and Trade: Applications to the Food and Agricultural Sector,2015,8,3
Heterogeneity in Auctions,2011,10,4
Heterogeneity in Macroeconomics: Households and Firms,2018,9,3
Heterogeneity of Income Responses to Taxation,2013,10,4
Heterogeneous Agents and Macro,2018,10,4
Heterogeneous Agents in Macroeconomics,2018,12,4
"Heterogeneous Externalities (Q5, H2)",2015,13,4
Heterogeneous Firms and Credit Risk,2019,10,4
Heterogenous Firms and Job Search,2014,8,3
Heterogenous Production Functions: Estimation and Applications,2016,13,4
High Dimensional Methods in Consumer Demand Models,2015,8,4
High Frequency Financial Econometrics I,2015,8,4
High Frequency Trading,2013,11,4
High Frequency Trading,2014,7,3
High Frequency Trading,2015,8,4
High School through College: Economic Education and Observed Outcomes,2012,10,4
High Skill Immigration in the Global Economy,2014,9,4
High Skill Immigration in the U.S,2013,7,4
"High Stakes Energy and Environmental Problems in Developing Countries (Q4, Q5)",2015,12,4
High-Dimensional Issues in Econometrics,2013,6,3
High-frequency Data and Real Economic Activity,2019,16,4
High-Frequency Trading,2016,13,4
"Historical Analysis of Institutions (B5, B2)",2016,7,5
Historical and Contemporary Dimensions of Economic Transition: Evidence from the Life in Transition Survey,2013,10,4
Historical Growth Dynamics of the Modern World,2016,4,3
"Historical Perspective on Cities, Institutions and Economic Activity",2019,13,4
Historical Perspectives on Agriculture Markets,2012,6,3
"Historical Perspectives on Financial Crisis, Banks and Regulation (E5, N2)",2016,9,4
"Histories of Behavioral Economics (B2, D1)",2015,4,4
History and Long-Term Development in Africa,2014,9,4
History and the City,2015,5,3
"History of Discrimination in Economics (J1, J7)",2015,6,4
History of Women's Economic Thought,2019,8,6
HIV and Behavior Change,2013,5,3
Homeownership,2013,7,4
Homeownership,2014,11,4
"Homeownership and the American Dream (R2, E2)",2016,11,4
Horizontal and Diversifying Mergers and Acquisitions,2015,8,4
Horizontal Practices: New Analysis of Collusion and Market Structure,2018,12,4
"Hospital Market Structure, Pricing, and Quality of Care",2013,10,3
Hospitals and Health Policy,2014,3,3
"House Price Dynamics (R3, G1)",2015,10,4
House Price Index,2011,11,4
House Price Volatility,2012,6,3
"House Prices, Mortgages, and Monetary Policy",2019,11,4
"House, Homeownership, and Life Cycle Impacts",2011,11,4
Household Behavior and Child Outcomes,2011,10,3
Household Behavior and Public Policy,2019,6,4
Household Borrowing and the Financial Crisis,2011,10,4
Household Dynamics and Divisions,2014,8,5
Household Finance,2014,12,4
Household Finance,2018,12,4
Household Finance,2019,15,4
Household Finance -- Consumer Credit,2011,10,4
Household Finance and Consumer Behavior,2018,5,3
Household Finance and Post-crisis Regulation,2018,7,4
Household Finance and Risk Management,2012,10,4
Household Finance and the Macro Economy,2012,10,3
Household Finance: Retirement-Labor Choices,2014,12,4
Household Finances during the Crisis - A European-United States Perspective,2014,11,4
"Household Heterogeneity, Business Cycles, and Monetary Policy",2013,16,4
"Household Risk, Credit, and Insurance",2015,8,4
Household Saving and Retirement,2013,7,4
"Household Savings, Debt, and Investment Decisions",2015,11,5
"Household, Microenterprise and Agricultural Finance in Developing Countries",2013,13,4
Households and Allocation Decisions,2014,17,6
Households and Portfolio Choice,2019,11,4
Housing,2014,9,4
Housing,2015,10,5
"Housing Affordability (R2, D1)",2016,10,4
Housing and Education,2013,11,4
Housing and Labor Markets in Spatial Economics,2012,6,3
"Housing and Macroeconomic Shocks (E5, R3)",2015,7,3
Housing and Macroeconomics,2016,10,4
Housing and the Financial Crisis,2011,9,4
Housing and the Macroeconomy,2012,9,3
Housing and the Macroeconomy,2013,7,4
Housing and Urban Development,2013,3,3
Housing Bubbles and Beliefs,2014,9,4
Housing Bubbles: Theory and Evidence,2013,10,4
Housing Choices over the Life Cycle,2012,7,4
"Housing Finance (D1, G2)",2015,17,4
Housing Markets and Consumer Preferences,2014,10,4
Housing Markets and Returns,2014,10,4
Housing Policies and Regulation,2013,8,4
Housing Price Bubbles and Alternative Mortgage Credit,2012,8,4
"Housing Price Shocks and Household Behavior (D1, G1)",2015,8,4
"Housing Tenure, Evictions, and Property Rights Restrictions",2018,8,4
"Housing, House Prices, and Airbnb",2019,10,4
"Housing, Unemployment and Monetary Policy (E2, E3)",2015,9,3
How Did the Safety Net Perform During the Great Recession?,2015,8,3
How Economic Measurement Was Invented,2011,4,3
How Entrenched Are Gender Norms in Developing Countries?,2018,11,4
How Farmland Appreciation and Wealth Are Affecting Agriculture,2014,8,3
How Innovation and Technology Affect Contract Terms in Farming,2014,8,4
How Networks Impact Stock Returns,2019,10,3
How Racist Ideology Shapes Economic Outcomes,2019,4,4
Human Capital and Careers in Organizations: Theory and Evidence,2019,10,4
"Human Capital and Higher Education (I1, J1)",2016,10,4
Human Capital at Work: Education,2014,3,2
"Human Capital at Work: Talent, Skills",2014,6,3
Human Capital at Work: Training,2014,2,2
"Human Capital Formation Role of Education, Health, and Food Security in African Economic Development (O1, O1)",2016,13,6
"Human Capital in Four Countries in Asia and Eurasia (J3, P5)",2015,10,4
Human Capital in Lower and Middle Income Countries,2019,6,3
Human Capital Topics in the MENA Countries,2013,5,4
Human Capital Topics in the Middle East,2011,10,5
"Human Capital, Firm’s Hiring Policy, and Gender Issues in a Developing Economy",2012,8,4
"Human Development, Economic Justice, and Sustainability",2011,8,5
Humanities and the Teaching of Economics,2016,5,4
"Hygiene and Sanitation in Developing Countries (I1, O1)",2015,9,4
Hysteresis in the Labor Market,2019,8,4
Identification and Estimation,2011,9,4
Identification and Estimation Nonseparable Models with Endogeneity,2014,6,4
Identification and Estimation of Production Functions,2019,10,4
Identification and Inference in Limited Attention Models,2019,13,4
Identification and Specification Issues in Econometrics,2014,9,4
Identification in Models with Endogeneity,2013,5,3
Identification of Economic Models,2018,8,4
Identifying Time Preferences from Lab and Field Data,2014,5,3
"Identity Economics 2016 (A1, D1)",2016,4,4
"Identity, Development, and Social Economics",2013,6,4
Ideology and Growth,2011,6,3
Illegal Markets and Violence,2014,6,4
"Illiquidity in Financial Markets: Information, Taxes and Temperature",2016,6,4
Immigrant Labor in the U.S.: Towards a New Transnationalism,2011,4,4
Immigrants and Hispanics Facing Hardships,2018,11,4
Immigration,2014,12,5
Immigration and Education,2011,10,4
Immigration Policy Analysis and Immigrants' Strategic Location Choices,2013,7,3
Immigration Policy and Crime,2015,6,4
"Immigration, Agricultural Employment, and Trade: International Perspectives",2015,5,4
"Impact Evaluation Challenges of Agricultural Interventions: Uptake, Spillovers, Heterogeneity and Dynamics",2013,10,4
Impact of Health System Reforms,2019,12,4
Impacts of Accountability,2013,8,4
Impacts of Experimental Education and Health Interventions on Labor Market Outcomes,2013,14,4
Impacts of Family-Friendly Workplace Policies,2019,10,4
Impacts of the Great Recession on Low-Income Households,2015,12,4
